KIDS_TILE,DMAG_R
KIDS_194.0_-0.5,0.01040787063539028
KIDS_158.0_0.5,-0.0120198056101799
KIDS_159.0_-0.5,-0.05010929331183434
KIDS_358.8_-33.1,0.03170726448297501
KIDS_237.0_0.5,0.01460363902151585
KIDS_176.0_1.5,0.007700201123952866
KIDS_43.7_-30.2,0.01637880690395832
KIDS_40.0_-32.1,0.03222006186842918
KIDS_50.1_-31.2,-0.01533468067646027
KIDS_334.4_-31.2,0.04433776065707207
KIDS_177.5_-2.5,0.03326807916164398
KIDS_336.2_-33.1,0.02588078007102013
KIDS_184.0_1.5,0.00455571711063385
KIDS_215.0_0.5,0.04162205755710602
KIDS_199.6_2.5,0.01979253999888897
KIDS_158.4_-2.5,0.006828244775533676
KIDS_44.9_-30.2,0.01998120546340942
KIDS_186.0_-0.5,0.01292316801846027
KIDS_220.0_1.5,0.02677103318274021
KIDS_194.0_0.5,-0.06925305724143982
KIDS_350.7_-31.2,0.07765146344900131
KIDS_171.0_0.5,-0.05145192891359329
KIDS_161.0_-1.5,-0.0387769527733326
KIDS_0.0_-34.1,-0.04106485098600388
KIDS_218.6_-2.5,0.0196039080619812
KIDS_22.1_-31.2,-0.04232911020517349
KIDS_9.3_-31.2,0.04415256157517433
KIDS_219.0_-1.5,0.02834418974816799
KIDS_53.3_-26.2,-0.0106588788330555
KIDS_336.1_-29.2,0.04091668128967285
KIDS_18.8_-32.1,0.007189162075519562
KIDS_334.0_-28.2,0.1023282706737518
KIDS_340.4_-30.2,0.03473187237977982
KIDS_217.0_1.5,0.01167202368378639
KIDS_48.7_-33.1,0.05103069543838501
KIDS_168.0_0.5,0.04760397970676422
KIDS_202.0_1.5,0.02881602197885513
KIDS_330.4_-29.2,0.002324201166629791
KIDS_191.0_-0.5,-0.06974445283412933
KIDS_358.8_-34.1,0.01908895373344421
KIDS_4.6_-30.2,-0.00910143181681633
KIDS_41.8_-28.2,0.04618814587593079
KIDS_150.1_2.2,0.009470313787460327
KIDS_35.3_-29.2,0.03310001641511917
KIDS_180.0_-0.5,0.009962376207113266
KIDS_53.0_-28.2,0.04070928692817688
KIDS_9.5_-33.1,0.03573895245790482
KIDS_233.0_-1.5,0.01415037550032139
KIDS_136.0_1.5,0.02120386436581612
KIDS_41.0_-29.2,-0.08199885487556458
KIDS_225.0_-1.5,-0.07415343075990677
KIDS_355.2_-33.1,0.0274159237742424
KIDS_7.9_-28.2,0.03806357458233833
KIDS_17.8_-33.1,0.02760324627161026
KIDS_215.6_2.5,0.04338320717215538
KIDS_49.5_-30.2,-0.00362590141594409
KIDS_352.8_-34.1,-0.00934550538659095
KIDS_231.0_1.5,0.03866642341017723
KIDS_20.0_-32.1,0.02242006175220013
KIDS_5.8_-30.2,0.0252241175621748
KIDS_224.0_1.5,-0.00730782002210617
KIDS_30.6_-32.1,0.04155534505844116
KIDS_131.0_0.5,0.0520402193069458
KIDS_1.2_-30.2,0.02140218392014503
KIDS_46.3_-33.1,0.01783157698810101
KIDS_15.0_-30.2,0.05513439700007439
KIDS_0.0_-31.2,0.0157437976449728
KIDS_33.3_-33.1,0.03770909458398819
KIDS_208.0_1.5,-0.1350868344306946
KIDS_186.5_2.5,0.01190442219376564
KIDS_129.0_-1.5,0.01245644316077232
KIDS_135.0_-1.5,0.00789634883403778
KIDS_34.1_-32.1,0.06629656255245209
KIDS_223.6_2.5,0.002399332821369171
KIDS_338.4_-34.1,-0.01470346748828888
KIDS_348.7_-28.2,-0.07350218296051025
KIDS_39.6_-31.2,0.02818572893738747
KIDS_157.0_-0.5,0.01425703801214695
KIDS_19.4_-29.2,-0.04010890424251556
KIDS_137.0_-1.5,0.006123688071966171
KIDS_341.0_-33.1,0.06643356382846832
KIDS_48.3_-30.2,0.03362296894192696
KIDS_175.5_2.5,0.02999258227646351
KIDS_200.0_1.5,0.003732506185770035
KIDS_342.9_-29.2,-0.00823752954602241
KIDS_50.5_-27.2,0.002239234745502472
KIDS_232.0_0.5,0.05550861731171608
KIDS_352.1_-28.2,0.04440036416053772
KIDS_16.8_-34.1,0.03662458807229996
KIDS_141.0_-1.5,0.003164229914546013
KIDS_164.0_0.5,0.01938408613204956
KIDS_352.7_-35.1,0.03997374325990677
KIDS_51.1_-26.2,0.003339497372508049
KIDS_220.0_-1.5,0.01208107173442841
KIDS_220.6_-3.5,0.01500119268894196
KIDS_204.0_-0.5,0.000344624742865562
